sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
FOODSIN,₹ 652.52 Cr.,₹ 856.49 Cr.,5.09 Cr.,18.45,2.76,₹ 1,0.20%,₹ 8.41 Cr.,₹ 212.38 Cr.,40.44%,72.89%,8.43%,11.74%,,,,,,,
SHREEPUSHK,₹ 545.7 Cr.,₹ 579.46 Cr.,3.16 Cr.,26.86,1.47,₹ 10,1.17%,₹ 10.17 Cr.,₹ 43.92 Cr.,68.42%,41.06%,10.86%,12.55%,,,,,,,
SPENCERS,₹ 584.51 Cr.,₹ 862.82 Cr.,9.01 Cr.,0,3.86,₹ 5,0%,₹ 14.9 Cr.,₹ 293.22 Cr.,58.81%,-3.35%,-28.14%,-1.60%,,,,,,,
ASAL,₹ 495.37 Cr.,₹ 533.98 Cr.,1.59 Cr.,7.59,0,₹ 10,0%,₹ 4.23 Cr.,₹ 42.84 Cr.,75%,79.18%,0%,177.49%,,,,,,,
ELDEHSG,₹ 600.21 Cr.,₹ 475.39 Cr.,0.98 Cr.,16.07,2.05,₹ 2,1.30%,₹ 125.28 Cr.,₹ 0.46 Cr.,54.83%,-27.35%,17.22%,23.53%,,,,,,,
KELLTONTEC,₹ 517.41 Cr.,₹ 556.82 Cr.,9.65 Cr.,42.03,3.43,₹ 5,0%,₹ 3 Cr.,₹ 42.42 Cr.,52.11%,3.30%,8.07%,10.82%,,,,,,,
RBL,₹ 544.53 Cr.,₹ 523.52 Cr.,0.77 Cr.,15.78,2.19,₹ 10,2.84%,₹ 21.01 Cr.,₹ 0 Cr.,70.93%,19.27%,11.27%,14.53%,,,,,,,
CREST,₹ 508.4 Cr.,,2.84 Cr.,0.88,0.58,₹ 10,0.28%,,,68.89%,13.15,-9.54%,-3.71%,,,,,₹ 0 Cr.,₹ 29.59 Cr.,₹ -28.8 Cr.
DPWIRES,₹ 501.41 Cr.,₹ 506.02 Cr.,1.36 Cr.,15.22,2.82,₹ 10,0.27%,₹ 8.29 Cr.,₹ 12.9 Cr.,70.40%,31.39%,21.17%,27.75%,,,,,,,
UNIVPHOTO,₹ 464.96 Cr.,₹ 464.67 Cr.,1.09 Cr.,1.13,0.79,₹ 10,0%,₹ 0.29 Cr.,₹ 0 Cr.,74.55%,19.60%,110.62%,133.42%,,,,,,,
JAYAGROGN,₹ 505.35 Cr.,₹ 521.73 Cr.,3 Cr.,9.97,1.25,₹ 5,1.78%,₹ 14.92 Cr.,₹ 31.3 Cr.,67.12%,60.82%,22.02%,27.09%,,,,,,,
NECLIFE,₹ 414.88 Cr.,₹ 1257.07 Cr.,22.43 Cr.,0,0.39,₹ 1,0%,₹ 17.74 Cr.,₹ 859.93 Cr.,55.80%,8.20%,2.36%,5.79%,,,,,,,
WINDLAS,₹ 545 Cr.,₹ 437.32 Cr.,2.13 Cr.,11.74,1.31,₹ 5,1.37%,₹ 113.81 Cr.,₹ 6.12 Cr.,60.75%,8.96%,13.02%,15.03%,,,,,,,
HCL-INSYS,₹ 477.35 Cr.,₹ 862.82 Cr.,32.92 Cr.,0,0,₹ 2,0%,₹ 28.56 Cr.,₹ 414.03 Cr.,62.89%,-95.77%,0%,15.49%,,,,,,,
STCINDIA,₹ 466.5 Cr.,₹ 1244.31 Cr.,6 Cr.,74.81,0,₹ 10,0%,₹ 28.42 Cr.,₹ 806.23 Cr.,90%,-100%,0%,0%,,,,,,,
MENONBE,₹ 597.11 Cr.,₹ 611.6 Cr.,5.6 Cr.,19.77,4.81,₹ 1,1.88%,₹ 8.79 Cr.,₹ 23.28 Cr.,71.25%,32.14%,23.22%,26.50%,,,,,,,
OSWALAGRO,₹ 404.72 Cr.,₹ 217.31 Cr.,13.42 Cr.,34.3,0.67,₹ 10,0%,₹ 187.41 Cr.,₹ 0 Cr.,41.88%,-62.34%,0.46%,0.56%,,,,,,,
MEDICO,₹ 533.01 Cr.,₹ 541.28 Cr.,1.66 Cr.,109,12.68,₹ 10,0%,₹ 2.34 Cr.,₹ 10.61 Cr.,73.34%,-1.12%,14.02%,15%,,,,,,,
TVSELECT,₹ 642.78 Cr.,₹ 635.61 Cr.,1.87 Cr.,51.46,6.4,₹ 10,0.58%,₹ 10.93 Cr.,₹ 3.76 Cr.,59.91%,37.10%,17.32%,24.45%,,,,,,,
NAHARCAP,₹ 441.76 Cr.,,1.67 Cr.,18.47,0.5,₹ 5,1.13%,,,71.54%,59.3,4.02%,5.40%,,,,,₹ 0 Cr.,₹ 36.75 Cr.,₹ 30.43 Cr.
UNIDT,₹ 461.08 Cr.,₹ 477.33 Cr.,2.03 Cr.,29.86,1.87,₹ 10,0.92%,₹ 1.83 Cr.,₹ 18.08 Cr.,74.65%,15.10%,23.23%,30.83%,,,,,,,
VLSFINANCE,₹ 602.17 Cr.,,3.65 Cr.,6.26,0.35,₹ 10,0.92%,,,45.76%,33.05,16.62%,17.41%,,,,,₹ 0 Cr.,₹ 285.55 Cr.,₹ 254.39 Cr.
EXXARO,₹ 538.01 Cr.,₹ 575.76 Cr.,4.47 Cr.,39.34,1.97,₹ 10,0%,₹ 19.11 Cr.,₹ 56.86 Cr.,42.07%,27.51%,8.99%,11.64%,,,,,,,
HARDWYN,₹ 464.27 Cr.,₹ 469.72 Cr.,1.53 Cr.,66.67,22.48,₹ 10,0%,₹ 1.15 Cr.,₹ 6.6 Cr.,74.85%,46.44%,24.99%,27.32%,,,,,,,
TBZ,₹ 479.13 Cr.,₹ 942.82 Cr.,6.67 Cr.,15.53,0.86,₹ 10,1.39%,₹ 45.32 Cr.,₹ 509.01 Cr.,74.12%,37.40%,3.20%,6.53%,,,,,,,
URJA,₹ 457.14 Cr.,₹ 451.65 Cr.,52.55 Cr.,239.67,3.21,₹ 1,0%,₹ 5.5 Cr.,₹ 0.01 Cr.,30.18%,-51.43%,0.48%,0.69%,,,,,,,
HTMEDIA,₹ 438.73 Cr.,₹ 1080.9 Cr.,23.27 Cr.,0,0.46,₹ 2,0%,₹ 57.1 Cr.,₹ 699.27 Cr.,69.51%,42.26%,-1.77%,0.85%,,,,,,,
SWELECTES,₹ 451.5 Cr.,₹ 705.67 Cr.,1.52 Cr.,15.75,0.64,₹ 10,1.01%,₹ 34.73 Cr.,₹ 288.9 Cr.,56.37%,54.84%,4.86%,5.57%,,,,,,,
IFBAGRO,₹ 452.62 Cr.,₹ 310.35 Cr.,0.94 Cr.,9.59,0.84,₹ 10,0%,₹ 162.27 Cr.,₹ 20 Cr.,65%,45.60%,11.18%,14.08%,,,,,,,
KSOLVES,₹ 507.85 Cr.,₹ 501.15 Cr.,1.19 Cr.,23.23,21.02,₹ 10,1.35%,₹ 6.7 Cr.,₹ 0 Cr.,58.94%,89.78%,107.55%,141.54%,,,,,,,
DHANBANK,₹ 413.67 Cr.,,25.3 Cr.,11.95,0.54,₹ 10,0%,,,0%,,4.83%,5.37%,34.29,₹ 362.31 Cr.,74.73,12.98,,,
NRAIL,₹ 415.1 Cr.,₹ 551.93 Cr.,1.7 Cr.,4.22,0.67,₹ 10,0%,₹ 6.16 Cr.,₹ 142.99 Cr.,73.55%,41.10%,12.05%,18.10%,,,,,,,
ADSL,₹ 548.65 Cr.,₹ 581.64 Cr.,5.48 Cr.,48.13,1.11,₹ 5,1%,₹ 9.57 Cr.,₹ 42.56 Cr.,52.82%,27.44%,1.18%,2.01%,,,,,,,
NURECA,₹ 385.61 Cr.,₹ 302.47 Cr.,1 Cr.,0,1.96,₹ 10,0.77%,₹ 84.19 Cr.,₹ 1.05 Cr.,62.98%,19.79%,24.69%,33.61%,,,,,,,
CSLFINANCE,₹ 504.63 Cr.,,2.07 Cr.,11.36,1.44,₹ 10,1.04%,,,51.33%,21,11.57%,12.80%,,,,,₹ 0 Cr.,₹ 74.63 Cr.,₹ 33.45 Cr.
RAMAPHO,₹ 367.66 Cr.,₹ 405.93 Cr.,1.77 Cr.,8.49,1.2,₹ 10,0.96%,₹ 6.02 Cr.,₹ 44.29 Cr.,75%,51.31%,29.56%,39.90%,,,,,,,
HITECHGEAR,₹ 485.53 Cr.,₹ 642.69 Cr.,1.88 Cr.,9.47,1.26,₹ 10,0.58%,₹ 51.39 Cr.,₹ 208.56 Cr.,56.22%,23.40%,11.73%,13.39%,,,,,,,
REPRO,₹ 473.56 Cr.,₹ 532.57 Cr.,1.27 Cr.,0,1.82,₹ 10,0%,₹ 6.27 Cr.,₹ 65.28 Cr.,51.42%,87.58%,-9.49%,-3.72%,,,,,,,
SREEL,₹ 418.32 Cr.,₹ 411.5 Cr.,2.33 Cr.,18.54,1.16,₹ 10,0%,₹ 6.83 Cr.,₹ 0 Cr.,75%,46.18%,5.08%,7.06%,,,,,,,
MANAKSIA,₹ 930.26 Cr.,₹ 908.32 Cr.,6.55 Cr.,9.91,4.9,₹ 2,0%,₹ 21.94 Cr.,₹ 0 Cr.,74.93%,134.74%,7.79%,7.26%,,,,,,,
BBTCL,₹ 469.6 Cr.,₹ 527.3 Cr.,2.05 Cr.,19.21,5.04,₹ 10,0.44%,₹ 0.34 Cr.,₹ 58.04 Cr.,71.43%,33.38%,31.86%,28.63%,,,,,,,
MUNJALAU,₹ 443.5 Cr.,₹ 487.93 Cr.,10 Cr.,6.56,1.15,₹ 2,2.25%,₹ 3.2 Cr.,₹ 47.63 Cr.,74.81%,-13.90%,6.39%,9.09%,,,,,,,
AARTISURF,₹ 459.48 Cr.,₹ 619.59 Cr.,0.85 Cr.,44.23,2.37,₹ 10,0%,₹ 1.41 Cr.,₹ 161.52 Cr.,45.04%,23.56%,4.10%,6.87%,,,,,,,
GOACARBON,₹ 432.75 Cr.,₹ 493.18 Cr.,0.92 Cr.,4.77,2.39,₹ 10,2.11%,₹ 179.35 Cr.,₹ 239.78 Cr.,59.72%,117.16%,39.60%,24.76%,,,,,,,
GENUSPAPER,₹ 395.97 Cr.,₹ 542.48 Cr.,25.71 Cr.,0,0.88,₹ 1,0%,₹ 33.45 Cr.,₹ 179.95 Cr.,50.50%,53.96%,2.01%,2.03%,,,,,,,
PROZONINTU,₹ 395.24 Cr.,₹ 395.26 Cr.,15.26 Cr.,63.61,0.62,₹ 2,0%,₹ 0.05 Cr.,₹ 0.07 Cr.,26.74%,31.60%,0.90%,1.18%,,,,,,,
INNOVANA,₹ 595.42 Cr.,₹ 563.02 Cr.,1.03 Cr.,52.32,10.35,₹ 10,0.26%,₹ 34.98 Cr.,₹ 2.58 Cr.,73.19%,-9.78%,21.73%,29.12%,,,,,,,
KRISHIVAL,₹ 552.28 Cr.,₹ 543.21 Cr.,1.98 Cr.,162.57,13.08,₹ 10,0.02%,₹ 19.77 Cr.,₹ 10.69 Cr.,41.88%,0,,,,,,,,,
ZIMLAB,₹ 372.51 Cr.,₹ 421.6 Cr.,4.87 Cr.,15.32,1.69,₹ 10,0%,₹ 2.09 Cr.,₹ 51.18 Cr.,33.26%,8.52%,7.96%,12.02%,,,,,,,
GVKPIL,₹ 457.97 Cr.,₹ 786.01 Cr.,157.92 Cr.,40,0.53,₹ 1,0%,₹ 40.34 Cr.,₹ 368.38 Cr.,54.25%,-51.60%,6.66%,4.13%,,,,,,,
JPOLYINVST,₹ 506.83 Cr.,,1.05 Cr.,25.81,4.7,₹ 10,0%,,,74.63%,28.84,78.04%,62.04%,,,,,₹ 0 Cr.,₹ 0.12 Cr.,₹ 59.53 Cr.
UNITECH,₹ 405.53 Cr.,₹ 4188.1 Cr.,261.63 Cr.,0,0.11,₹ 2,0%,₹ 121.43 Cr.,₹ 3904.01 Cr.,5.13%,-92.48%,-40.78%,-10.56%,,,,,,,
FCSSOFT,₹ 435.94 Cr.,₹ 455.14 Cr.,170.96 Cr.,314.81,0.84,₹ 1,0%,₹ 2.61 Cr.,₹ 21.81 Cr.,19.65%,1.92%,0.02%,0.52%,,,,,,,
SHYAMCENT,₹ 424.35 Cr.,₹ 338.15 Cr.,22.22 Cr.,10.46,2.26,₹ 1,0%,₹ 86.63 Cr.,₹ 0.43 Cr.,51.70%,62.49%,38.83%,51.69%,,,,,,,
EQUIPPP,₹ 405.68 Cr.,₹ 406.18 Cr.,10.31 Cr.,0,62.4,₹ 1,0%,₹ 0.01 Cr.,₹ 0.51 Cr.,97%,0%,-91.29%,-64.39%,,,,,,,
MANINDS,₹ 522.9 Cr.,₹ 342.7 Cr.,6.01 Cr.,7.9,0.54,₹ 5,0%,₹ 237.02 Cr.,₹ 56.83 Cr.,45.69%,0.91%,11.46%,16.21%,,,,,,,
PLASTIBLEN,₹ 428.04 Cr.,₹ 459.93 Cr.,2.6 Cr.,14.02,1.13,₹ 5,2.42%,₹ 0.8 Cr.,₹ 32.68 Cr.,63.60%,24.30%,10.31%,13.42%,,,,,,,
LIBERTSHOE,₹ 376.24 Cr.,₹ 437.98 Cr.,1.7 Cr.,27.63,1.86,₹ 10,0%,₹ 3.42 Cr.,₹ 65.16 Cr.,58.50%,6.50%,1.20%,6.02%,,,,,,,
CONSOFINVT,₹ 406.67 Cr.,,3.23 Cr.,78.05,1.23,₹ 10,0%,,,73.97%,6.38,0.14%,0.64%,,,,,₹ 0 Cr.,₹ 11.95 Cr.,₹ 0.61 Cr.
MAGADSUGAR,₹ 470.52 Cr.,₹ 1106.02 Cr.,1.41 Cr.,9.76,0.78,₹ 10,1.94%,₹ 0.44 Cr.,₹ 635.94 Cr.,61.02%,4.53%,7.96%,8.77%,,,,,,,
BALAJITELE,₹ 473.29 Cr.,₹ 508.69 Cr.,10.11 Cr.,24.99,0.43,₹ 2,0%,₹ 9.77 Cr.,₹ 45.17 Cr.,34.34%,-23.33%,0.41%,0.73%,,,,,,,
PDMJEPAPER,₹ 385.02 Cr.,₹ 447.47 Cr.,9.5 Cr.,7.62,1,₹ 1,1.23%,₹ 8.32 Cr.,₹ 70.77 Cr.,71.05%,27.10%,10.57%,13.12%,,,,,,,
THEINVEST,₹ 445.89 Cr.,,5.22 Cr.,3879.55,0.99,₹ 10,0%,,,72.12%,50.26,0.22%,2.75%,,,,,₹ 0 Cr.,₹ 115.01 Cr.,₹ 0.95 Cr.
PREMEXPLN,₹ 404.66 Cr.,₹ 480.32 Cr.,1.08 Cr.,73.22,2.1,₹ 10,0.39%,₹ 4.72 Cr.,₹ 80.38 Cr.,41.33%,29.83%,3%,5.73%,,,,,,,
DONEAR,₹ 446.16 Cr.,₹ 747.23 Cr.,5.2 Cr.,11.67,2.75,₹ 2,0.23%,₹ 12.2 Cr.,₹ 313.26 Cr.,74.56%,59.24%,18.15%,12.69%,,,,,,,
HINDCOMPOS,₹ 416.56 Cr.,₹ 414.05 Cr.,1.48 Cr.,18.62,0.45,₹ 5,0.70%,₹ 2.81 Cr.,₹ 0.3 Cr.,74.97%,25.04%,2.49%,2.85%,,,,,,,
DSSL,₹ 491.73 Cr.,₹ 518.15 Cr.,1.27 Cr.,17.78,5.38,₹ 10,0.13%,₹ 35.32 Cr.,₹ 61.74 Cr.,61.10%,50.02%,28.75%,28.31%,,,,,,,
MAXIND,₹ 379.09 Cr.,,4.3 Cr.,28.74,0.44,₹ 10,0%,,,51.11%,-3.13,0.68%,0.84%,,,,,₹ 0 Cr.,₹ 32.61 Cr.,₹ 6.29 Cr.
GSS,₹ 380.23 Cr.,₹ 375.98 Cr.,1.69 Cr.,200.34,3.03,₹ 10,0%,₹ 4.25 Cr.,₹ 0 Cr.,19.63%,23.05%,0.71%,1.30%,,,,,,,
MUTHOOTCAP,₹ 471.63 Cr.,,1.64 Cr.,0,1.07,₹ 10,0%,,,62.62%,-21.15,-36.30%,-3.50%,,,,,₹ 1565.49 Cr.,₹ 397.49 Cr.,₹ -171.93 Cr.
VARDHACRLC,₹ 409.86 Cr.,₹ 407.28 Cr.,8.04 Cr.,17.51,1.7,₹ 10,49.02%,₹ 5.36 Cr.,₹ 2.78 Cr.,74.97%,8.26%,4.77%,5.81%,,,,,,,
ZUARIIND,₹ 364.97 Cr.,₹ 1638.28 Cr.,2.98 Cr.,46.84,0.14,₹ 10,2.45%,₹ 15.41 Cr.,₹ 1288.72 Cr.,56.81%,-21.37%,0.58%,5.10%,,,,,,,
NAHARINDUS,₹ 350.95 Cr.,₹ 1049.52 Cr.,3.98 Cr.,3.4,0.37,₹ 10,0%,₹ 5.49 Cr.,₹ 704.06 Cr.,68.81%,41.49%,19.33%,18.01%,,,,,,,
MANORG,₹ 398.72 Cr.,₹ 593.39 Cr.,0.86 Cr.,0,1.44,₹ 10,0.33%,₹ 1.12 Cr.,₹ 195.8 Cr.,54.91%,45.13%,19.51%,20.02%,,,,,,,
MIRCELECTR,₹ 330.26 Cr.,₹ 380.18 Cr.,23.1 Cr.,0,1.67,₹ 1,0%,₹ 17.78 Cr.,₹ 67.7 Cr.,53.36%,55.67%,-9.41%,-2.07%,,,,,,,
SILVERTUC,₹ 417.84 Cr.,₹ 401.19 Cr.,1.27 Cr.,68.44,4.86,₹ 10,0.30%,₹ 16.86 Cr.,₹ 0.21 Cr.,74.59%,-8.42%,7.64%,11.54%,,,,,,,
INDOBORAX,₹ 390.54 Cr.,₹ 354.48 Cr.,3.21 Cr.,8.08,1.61,₹ 1,0.82%,₹ 36.06 Cr.,₹ 0 Cr.,53.78%,21.69%,19.10%,26.28%,,,,,,,
DELPHIFX,₹ 358.32 Cr.,,1.11 Cr.,33.28,1.78,₹ 10,0%,,,89.55%,33.28,4.21%,8.02%,,,,,₹ 0 Cr.,₹ 1505.3 Cr.,₹ 7.92 Cr.
KOTHARIPRO,₹ 356.93 Cr.,₹ 417.07 Cr.,2.98 Cr.,35.59,0.37,₹ 10,0%,₹ 29.04 Cr.,₹ 89.18 Cr.,74.99%,-36.79%,0.54%,2.63%,,,,,,,
MALLCOM,₹ 463.94 Cr.,₹ 481.72 Cr.,0.62 Cr.,13.2,2.54,₹ 10,0.40%,₹ 27.64 Cr.,₹ 45.41 Cr.,73.78%,12.47%,21.55%,22.35%,,,,,,,
KECL,₹ 470.21 Cr.,₹ 556.37 Cr.,6.64 Cr.,4.29,0,₹ 10,0%,₹ 47.26 Cr.,₹ 133.41 Cr.,49.51%,20.57%,0%,0%,,,,,,,
KHADIM,₹ 366.31 Cr.,₹ 482.4 Cr.,1.8 Cr.,23.09,1.66,₹ 10,0%,₹ 10.7 Cr.,₹ 126.79 Cr.,60.27%,-5.61%,3.18%,9.95%,,,,,,,
PTL,₹ 418.97 Cr.,₹ 447.99 Cr.,13.24 Cr.,17.36,1.15,₹ 1,6.31%,₹ 20.22 Cr.,₹ 49.23 Cr.,69.82%,0%,11.22%,17.32%,,,,,,,
DEEPENR,₹ 378.4 Cr.,₹ 378.17 Cr.,3.2 Cr.,140.92,0.98,₹ 10,0%,₹ 0.24 Cr.,₹ 0 Cr.,67.99%,-44.37%,0.01%,0.01%,,,,,,,
GLOBAL,₹ 481.53 Cr.,₹ 477.66 Cr.,2.04 Cr.,28.96,8.1,₹ 5,0.63%,₹ 3.87 Cr.,₹ 0 Cr.,73.32%,53.93%,25.08%,33.69%,,,,,,,
NXTDIGITAL,₹ 399.01 Cr.,₹ 1156.3 Cr.,3.37 Cr.,0,1.08,₹ 10,3.38%,₹ 9.97 Cr.,₹ 767.26 Cr.,64.67%,1%,-11.79%,1.33%,,,,,,,
BGRENERGY,₹ 378.49 Cr.,₹ 1997.84 Cr.,7.22 Cr.,0,0.62,₹ 10,0%,₹ 259.11 Cr.,₹ 1878.46 Cr.,75%,7.11%,-18.31%,4.24%,,,,,,,
KRITI,₹ 455.36 Cr.,₹ 545.87 Cr.,4.96 Cr.,0,4.06,₹ 1,0.22%,₹ 13.48 Cr.,₹ 103.99 Cr.,66.35%,-7.54%,9.51%,13.99%,,,,,,,
KAYA,₹ 380.88 Cr.,₹ 451.79 Cr.,1.31 Cr.,0,11.25,₹ 10,0%,₹ 7.69 Cr.,₹ 78.59 Cr.,59.93%,20.36%,-26.71%,-8.05%,,,,,,,
PONNIERODE,₹ 426.57 Cr.,₹ 416.68 Cr.,0.86 Cr.,9.97,0.9,₹ 10,1.12%,₹ 9.89 Cr.,₹ 0 Cr.,42.36%,12.54%,8.42%,10.39%,,,,,,,
ORICONENT,₹ 344.72 Cr.,₹ 469.05 Cr.,15.7 Cr.,17.57,0.47,₹ 2,4.58%,₹ 2.28 Cr.,₹ 126.61 Cr.,66.97%,33.44%,23.11%,21.26%,,,,,,,
SAKAR,₹ 425.79 Cr.,₹ 518.63 Cr.,1.86 Cr.,23.86,2.66,₹ 10,0%,₹ 0.03 Cr.,₹ 92.86 Cr.,62.10%,35.35%,13.49%,12.13%,,,,,,,
DYCL,₹ 379.08 Cr.,₹ 429.42 Cr.,2.2 Cr.,12.84,2.26,₹ 10,0.29%,₹ 26.24 Cr.,₹ 76.58 Cr.,74.41%,64.47%,23.34%,23.75%,,,,,,,
PARSVNATH,₹ 324.21 Cr.,₹ 1632.02 Cr.,43.52 Cr.,0,0.35,₹ 5,0%,₹ 58.57 Cr.,₹ 1366.38 Cr.,66.27%,158.87%,-18.55%,-2.13%,,,,,,,
IRISDOREME,₹ 514.47 Cr.,₹ 538.55 Cr.,1.63 Cr.,60.45,9.4,₹ 10,0%,₹ 1.42 Cr.,₹ 25.5 Cr.,70.71%,26.88%,23.19%,23.94%,,,,,,,
BIRLACABLE,₹ 421.65 Cr.,₹ 499.39 Cr.,3 Cr.,13.55,2.03,₹ 10,1.07%,₹ 3.91 Cr.,₹ 81.66 Cr.,66.35%,62.99%,12.25%,13.98%,,,,,,,
INDSWFTLAB,₹ 391.75 Cr.,₹ 1315.99 Cr.,5.91 Cr.,38.43,0.77,₹ 10,0%,₹ 9.38 Cr.,₹ 933.62 Cr.,42%,15.35%,-1.32%,7.41%,,,,,,,
RANASUG,₹ 347.06 Cr.,₹ 493.54 Cr.,15.36 Cr.,10.03,0.74,₹ 10,0%,₹ 42.51 Cr.,₹ 189 Cr.,22.64%,14.63%,20.99%,23.37%,,,,,,,
SECL,₹ 269.72 Cr.,₹ 283.41 Cr.,1.03 Cr.,95.89,20.43,₹ 10,0%,₹ 0.26 Cr.,₹ 13.95 Cr.,70.81%,-72.39%,28.89%,17.63%,,,,,,,
MGEL,₹ 299.97 Cr.,₹ 394.66 Cr.,13.86 Cr.,39.07,3.42,₹ 2,0.92%,₹ 2.9 Cr.,₹ 97.59 Cr.,73.99%,30.90%,5.52%,9.07%,,,,,,,
DHUNINV,₹ 384.34 Cr.,,0.61 Cr.,51.27,1.08,₹ 10,0.39%,,,74.95%,16.56,3.09%,3.73%,,,,,₹ 0 Cr.,₹ 13.51 Cr.,₹ 10.28 Cr.
HMVL,₹ 378.67 Cr.,₹ 457.92 Cr.,7.37 Cr.,0,0.25,₹ 10,0%,₹ 38.04 Cr.,₹ 117.29 Cr.,74.40%,22.69%,2.73%,3.38%,,,,,,,
WEALTH,₹ 365.52 Cr.,,1.07 Cr.,21.37,4.69,₹ 10,0.58%,,,74%,78.95,33.63%,43.57%,,,,,₹ 0 Cr.,₹ 1481.53 Cr.,₹ 18.77 Cr.
BANSWRAS,₹ 506.29 Cr.,₹ 738.77 Cr.,3.42 Cr.,4.91,1.06,₹ 5,0.42%,₹ 27.42 Cr.,₹ 259.9 Cr.,56.30%,51.25%,12.34%,15.56%,,,,,,,
KOTHARIPET,₹ 399.57 Cr.,₹ 401.4 Cr.,5.88 Cr.,12.11,2.2,₹ 10,0%,₹ 9.16 Cr.,₹ 10.99 Cr.,70.98%,68.19%,23.64%,31.96%,,,,,,,
MUNJALSHOW,₹ 367.95 Cr.,₹ 350.41 Cr.,4 Cr.,20.74,0.58,₹ 2,4.90%,₹ 17.55 Cr.,₹ 0 Cr.,65.02%,-2.34%,1.90%,2.21%,,,,,,,
VIPCLOTHNG,₹ 353.51 Cr.,₹ 448.74 Cr.,8.26 Cr.,52.39,2.56,₹ 2,0%,₹ 5.06 Cr.,₹ 100.29 Cr.,49.59%,27.05%,-1.65%,2.25%,,,,,,,
SAKUMA,₹ 322.52 Cr.,₹ 399.45 Cr.,23.46 Cr.,12.62,1.21,₹ 1,0.36%,₹ 8.6 Cr.,₹ 85.53 Cr.,61.88%,144.29%,9.36%,11.34%,,,,,,,
CLEDUCATE,₹ 302.6 Cr.,₹ 308.76 Cr.,5.51 Cr.,13.11,1.05,₹ 5,0%,₹ 10.59 Cr.,₹ 16.75 Cr.,52.52%,12.59%,3.54%,5.33%,,,,,,,
MOLDTECH,₹ 628.96 Cr.,₹ 621.21 Cr.,2.82 Cr.,26.55,6.88,₹ 2,0.90%,₹ 7.75 Cr.,₹ 0 Cr.,48.99%,18.77%,20.18%,27.98%,,,,,,,
CHEMFAB,₹ 400.71 Cr.,₹ 399.99 Cr.,1.42 Cr.,6.33,1.15,₹ 10,0.44%,₹ 7.58 Cr.,₹ 6.85 Cr.,73.30%,50.21%,10.22%,13.36%,,,,,,,
ICEMAKE,₹ 424.08 Cr.,₹ 429.18 Cr.,1.58 Cr.,23.26,5.46,₹ 10,0.45%,₹ 1.93 Cr.,₹ 7.03 Cr.,74.49%,52.27%,13.06%,18%,,,,,,,
NBIFIN,₹ 394.29 Cr.,,0.25 Cr.,67.96,0.18,₹ 5,0%,,,74.34%,467.67,0.34%,0.47%,,,,,₹ 0 Cr.,₹ 12.26 Cr.,₹ 7.94 Cr.
MARINE,₹ 476.55 Cr.,₹ 496.63 Cr.,12.27 Cr.,26.31,3.03,₹ 2,0%,₹ 7.68 Cr.,₹ 27.75 Cr.,73.71%,61.54%,8.97%,13.78%,,,,,,,
EIFFL,₹ 383.9 Cr.,₹ 420.69 Cr.,2.48 Cr.,288.86,6.01,₹ 10,0%,₹ 0.38 Cr.,₹ 37.17 Cr.,73.50%,18.53%,2.23%,5.14%,,,,,,,
RITCO,₹ 361.4 Cr.,₹ 508.69 Cr.,2.45 Cr.,14.83,2.53,₹ 10,0%,₹ 25.09 Cr.,₹ 172.39 Cr.,73.04%,25.21%,14.07%,13.14%,,,,,,,
SALZERELEC,₹ 434.01 Cr.,₹ 678.41 Cr.,1.6 Cr.,13.9,1.15,₹ 10,0.67%,₹ 8.04 Cr.,₹ 252.44 Cr.,32.34%,29.39%,6.59%,8.77%,,,,,,,
OMINFRAL,₹ 396.29 Cr.,₹ 461.91 Cr.,9.63 Cr.,203.41,0.58,₹ 1,0.61%,₹ 40.49 Cr.,₹ 106.11 Cr.,71.68%,26.75%,-0.04%,4.50%,,,,,,,
PPL,₹ 380.18 Cr.,₹ 338.78 Cr.,2.39 Cr.,5.87,1.34,₹ 10,0.75%,₹ 46.5 Cr.,₹ 5.1 Cr.,44.27%,29.53%,21.93%,32.12%,,,,,,,
MAWANASUG,₹ 327.41 Cr.,₹ 698.16 Cr.,3.91 Cr.,0,0.9,₹ 10,3.57%,₹ 45.24 Cr.,₹ 415.99 Cr.,63.49%,0.63%,8.22%,9.42%,,,,,,,
GOKUL,₹ 331.63 Cr.,₹ 331.49 Cr.,9.9 Cr.,160.44,1.54,₹ 2,0%,₹ 0.14 Cr.,₹ 0 Cr.,72.09%,13.86%,0.67%,0.78%,,,,,,,
HITECHCORP,₹ 340.77 Cr.,₹ 435.82 Cr.,1.72 Cr.,12.24,1.45,₹ 10,0.51%,₹ 0.96 Cr.,₹ 96.02 Cr.,74.43%,31.62%,18.74%,20.83%,,,,,,,
KERNEX,₹ 423.12 Cr.,₹ 416.15 Cr.,1.49 Cr.,0,5.05,₹ 10,0%,₹ 18.92 Cr.,₹ 11.95 Cr.,31.27%,-65.59%,-26.92%,-17.90%,,,,,,,
